City,State/Territory
Hyderabad,Andhra Pradesh
Visakhapatnam,Andhra Pradesh
Patna,Bihar
Delhi,Delhi
Ahmedabad,Gujarat
Rajkot,Gujarat
Surat,Gujarat
Vadodara,Gujarat
Faridabad,Haryana
Srinagar,Jammu and Kashmir
Dhanbad,Jharkhand
Ranchi,Jharkhand
Bangalore,Karnataka
Bhopal,Madhya Pradesh
Indore,Madhya Pradesh
Jabalpur,Madhya Pradesh
Aurangabad,Maharashtra
Nagpur,Maharashtra
Nashik,Maharashtra
Mumbai,Maharashtra
Pune,Maharashtra
Thane,Maharashtra
Amritsar,Punjab
Ludhiana,Punjab
Jaipur,Rajasthan
Chennai,Tamil Nadu
Coimbatore,Tamil Nadu
Agra,Uttar Pradesh
Allahabad,Uttar Pradesh
Ghaziabad,Uttar Pradesh
Kanpur,Uttar Pradesh
Lucknow,Uttar Pradesh
Meerut,Uttar Pradesh
Varanasi,Uttar Pradesh
Kolkata,West Bengal
